,symbol
660,SHSE.600807
661,SHSE.600808
662,SHSE.600809
663,SHSE.600810
664,SHSE.600811
665,SHSE.600812
666,SHSE.600814
667,SHSE.600815
668,SHSE.600816
669,SHSE.600817
670,SHSE.600818
671,SHSE.600819
672,SHSE.600820
673,SHSE.600821
674,SHSE.600822
675,SHSE.600823
676,SHSE.600824
677,SHSE.600825
678,SHSE.600826
679,SHSE.600827
680,SHSE.600828
681,SHSE.600829
682,SHSE.600830
683,SHSE.600831
684,SHSE.600833
685,SHSE.600834
686,SHSE.600835
687,SHSE.600836
688,SHSE.600837
689,SHSE.600838
690,SHSE.600839
691,SHSE.600841
692,SHSE.600843
693,SHSE.600844
694,SHSE.600845
695,SHSE.600846
696,SHSE.600848
697,SHSE.600850
698,SHSE.600851
699,SHSE.600853
700,SHSE.600854
701,SHSE.600855
702,SHSE.600856
703,SHSE.600857
704,SHSE.600858
705,SHSE.600859
706,SHSE.600860
707,SHSE.600861
708,SHSE.600862
709,SHSE.600863
710,SHSE.600864
711,SHSE.600865
712,SHSE.600866
713,SHSE.600867
714,SHSE.600868
715,SHSE.600869
716,SHSE.600870
717,SHSE.600871
718,SHSE.600872
719,SHSE.600873
720,SHSE.600874
721,SHSE.600875
722,SHSE.600876
723,SHSE.600877
724,SHSE.600879
725,SHSE.600880
726,SHSE.600881
727,SHSE.600882
728,SHSE.600883
729,SHSE.600884
730,SHSE.600885
731,SHSE.600886
732,SHSE.600887
733,SHSE.600888
734,SHSE.600889
735,SHSE.600890
736,SHSE.600892
737,SHSE.600893
738,SHSE.600894
739,SHSE.600895
740,SHSE.600896
741,SHSE.600897
742,SHSE.600898
743,SHSE.600900
744,SHSE.600901
745,SHSE.600903
746,SHSE.600905
747,SHSE.600906
748,SHSE.600908
749,SHSE.600909
750,SHSE.600916
751,SHSE.600917
752,SHSE.600918
753,SHSE.600919
754,SHSE.600926
755,SHSE.600927
756,SHSE.600928
757,SHSE.600929
758,SHSE.600933
759,SHSE.600935
760,SHSE.600936
761,SHSE.600939
762,SHSE.600941
763,SHSE.600955
764,SHSE.600956
765,SHSE.600958
766,SHSE.600959
767,SHSE.600960
768,SHSE.600961
769,SHSE.600962
770,SHSE.600963
771,SHSE.600965
772,SHSE.600966
773,SHSE.600967
774,SHSE.600968
775,SHSE.600969
776,SHSE.600970
777,SHSE.600971
778,SHSE.600973
779,SHSE.600975
780,SHSE.600976
781,SHSE.600977
782,SHSE.600979
783,SHSE.600980
784,SHSE.600981
785,SHSE.600982
786,SHSE.600983
787,SHSE.600984
788,SHSE.600985
789,SHSE.600986
790,SHSE.600987
791,SHSE.600988
792,SHSE.600989
793,SHSE.600990
794,SHSE.600992
795,SHSE.600993
796,SHSE.600995
797,SHSE.600996
798,SHSE.600997
799,SHSE.600998
800,SHSE.600999
801,SHSE.601000
802,SHSE.601001
803,SHSE.601002
804,SHSE.601003
805,SHSE.601005
806,SHSE.601006
807,SHSE.601007
808,SHSE.601008
809,SHSE.601009
810,SHSE.601010
