date,inflow,purchase,inflow_mean,inflow_bias,inflow_Q60,inflow_Q120,inflow_Q200,purchase_mean,purchase_bias,purchase_Q60,purchase_Q120,purchase_Q200
2015-07-29,1440.5912,902.4586,1480.218925620751,-2.6771530166817996,38.88714581459662,24.816166296266477,,959.0899725797301,-5.904698641296889,39.53670806312235,36.136819274212215,
2015-07-30,1439.9812,900.3999,1476.3867612759175,-2.465855305045892,39.9950526409859,25.523186558836763,,953.500441857851,-5.5690107237273025,40.75823670461799,37.25330473591345,
2015-07-31,1445.2512,904.6726,1473.42146972583,-1.9118948857906872,42.89965830514874,27.376785625495092,,948.8501712047223,-4.65590591069099,44.08091715700623,40.29025720100519,
2015-08-03,1423.8812,882.6811,1468.7033487995607,-3.051817702750924,36.92264955910364,23.562506128016036,,942.5483548995106,-6.351637514225288,37.910350348991486,34.65031729491398,
2015-08-04,1421.1412,879.0043,1464.1736203424596,-2.93902442610559,37.51406363641986,23.93992210404592,,936.4965401471762,-6.139076620415594,38.68383430912428,35.35728687958945,
2015-08-05,1421.8812,879.0634,1460.1457707860347,-2.6205993642289513,39.183676132528895,25.005399667025458,,931.0267172760166,-5.581291740805256,40.7135475355349,37.212458532327354,
2015-08-06,1425.3612,881.1527000000001,1456.8329545206982,-2.1602857364695183,41.59725934895982,26.545648538835042,,926.2768108687769,-4.871557869019071,43.296185178567455,39.57300685132349,
2015-08-07,1434.1012,888.9114,1454.6680255187268,-1.4138501127357017,45.511078938354245,29.043286145026766,,922.7182003098458,-3.663827189979955,47.69097432183009,43.589873930008906,
2015-08-10,1437.5212,890.6782000000001,1453.0349945169432,-1.0676820981934299,47.32615731009667,30.201594006670064,,919.6667717089081,-3.152073403178619,49.553185844060714,45.29194788927139,
2015-08-11,1445.3312,897.2509,1452.3012998010438,-0.4799348318423,50.40791907429455,32.168246761038674,,917.5319267842501,-2.210389218316436,52.97986325140048,48.42395427640822,
2015-08-12,1444.6212,895.2444,1451.569861724754,-0.47869977932013796,50.41439488091668,32.17237935268743,,915.4093051857501,-2.202829386976603,53.007372583798684,48.4490979927652,
2015-08-13,1447.6212,896.9141999999999,1451.1937987033489,-0.2461834323259211,51.63355833558712,33.87977202656926,,913.647866596631,-1.8315225382142728,54.35851430444956,49.6840506877406,
2015-08-14,1448.2912,896.692,1450.9173607316013,-0.18100002127462744,51.975337456202986,34.499375460473615,,912.0330221588566,-1.682068717483844,54.902359087201766,50.18112850707151,
2015-08-17,1443.9312,890.8484,1450.2520120904965,-0.435842325182179,50.63911130417321,34.179942860090115,,910.0154390961084,-2.106232298118641,53.35887796885813,48.770376298321786,
2015-08-18,1439.5112,886.0225999999999,1449.2290776056873,-0.67055496993909,49.40843190233405,33.943500186792164,,907.7304068012409,-2.3914376601900216,52.32104937794345,47.82179392854995,
2015-08-19,1441.5312,886.1878999999999,1448.4959464051456,-0.4808260887737106,50.40324590660745,35.60104720071183,,905.678739486837,-2.1520698937772096,53.192080377930154,48.61792216913341,
2015-08-20,1434.9212,877.8018,1447.2031134141794,-0.8486654914115235,48.474536967725925,34.32387803999695,,903.023792869043,-2.793059614620887,50.859594572114574,46.486014325671796,
2015-08-21,1427.1812,868.5733,1445.2962645175908,-1.2533807055563955,46.352475422320616,34.86276974390356,,899.7427935481817,-3.4642670962957283,48.417149907474474,46.229826956061025,
2015-08-24,1509.8012,950.0614999999999,1451.4395917063916,4.0209464194782925,74.0075928450074,58.738100526341874,,904.5350513054977,5.033132616452491,79.33818275998138,78.57740032352723,
2015-08-25,1590.5112,1029.8759,1464.6845067819734,8.590702819303914,97.96840278991972,79.6158821016879,,916.4722749906884,12.37392860689252,100.0,100.0,
2015-08-26,1665.5112,1103.8468,1483.8108585170235,12.245519059253596,100.0,100.0,,934.3174678487181,18.144724677108528,100.0,100.0,
2015-08-27,1714.5012,1150.9745,1505.781367229688,13.861230940472538,100.0,100.0,,954.951470910745,20.527014729063282,100.0,100.0,
2015-08-28,1690.4012,1125.4825,1523.3642084459082,10.96500696471648,87.9096604087653,87.9096604087653,,971.1925213001979,15.886652266766248,87.5582773068598,87.5582773068598,
2015-08-31,1684.9512,1118.9877999999999,1538.753445736774,9.501051300211685,81.79835089729906,81.79835089729906,,985.2682621287505,13.571891332654687,81.35194884068343,81.35194884068343,
2015-09-01,1673.0412,1106.0968,1551.542755666605,7.830815096113426,74.82591952660329,74.82591952660329,,996.7757419260124,10.967467753855331,74.36897796153853,74.36897796153853,
2015-09-02,1643.0712,1075.6607000000001,1560.2597503650236,5.307542517558545,64.29247231694298,64.29247231694298,,1004.288595075916,7.106732593999936,64.01758911188395,64.01758911188395,
2015-09-07,1642.2112,1073.8925,1568.0646503302594,4.7285390722967975,61.87541191819328,61.87541191819328,,1010.9175384020192,6.229485512490626,61.66551747735423,61.66551747735423,
2015-09-08,1687.3612,1117.6811,1579.4262264892823,6.833809120077333,70.66389997090921,70.66389997090921,,1021.085496649446,9.46008964651044,70.32740134814354,70.32740134814354,
2015-09-09,1659.6912,1087.8224,1587.0705096807792,4.57576962562473,61.237673088292134,61.237673088292134,,1027.4413922066417,5.876832318744491,60.719985036927625,60.719985036927625,
2015-09-10,1691.4012,1116.9053999999999,1597.0067659016574,5.910709717315953,66.81040474772381,66.81040474772381,,1035.9617739012472,7.813379618625646,65.91224850406722,65.91224850406722,
2015-09-11,1692.0612,1116.2109,1606.0595691491187,5.354821981879823,64.48984129949437,64.48984129949437,,1043.6045478154142,6.957266747885811,63.61684183738614,63.61684183738614,
