date,name,code,weekday,open,high,low,close,change,pct
2014-12-08,主动偏股,932055,一,915.68,915.68,915.68,915.68,9.28,1.02
2014-12-08,主动股基,930890,一,901.23,901.23,901.23,901.23,8.36,0.94
2014-12-08,股票基金,H11021,一,5604.44,5604.44,5604.44,5604.44,99.43,1.81
2014-12-08,偏股基金,930950,一,887.82,887.82,887.82,887.82,13.65,1.56
2014-12-09,偏股基金,930950,二,847.34,847.34,847.34,847.34,-40.48,-4.56
2014-12-09,主动股基,930890,二,863.08,863.08,863.08,863.08,-38.16,-4.23
2014-12-09,股票基金,H11021,二,5353.48,5353.48,5353.48,5353.48,-250.96,-4.48
2014-12-09,主动偏股,932055,二,873.43,873.43,873.43,873.43,-42.25,-4.62
2014-12-10,偏股基金,930950,三,874.55,874.55,874.55,874.55,27.21,3.21
2014-12-10,主动偏股,932055,三,900.85,900.85,900.85,900.85,27.42,3.14
2014-12-10,主动股基,930890,三,892.43,892.43,892.43,892.43,29.36,3.40
2014-12-10,股票基金,H11021,三,5522.94,5522.94,5522.94,5522.94,169.46,3.17
2014-12-11,主动偏股,932055,四,903.10,903.10,903.10,903.10,2.25,0.25
2014-12-11,偏股基金,930950,四,874.74,874.74,874.74,874.74,0.19,0.02
2014-12-11,主动股基,930890,四,895.49,895.49,895.49,895.49,3.06,0.34
2014-12-11,股票基金,H11021,四,5521.35,5521.35,5521.35,5521.35,-1.59,-0.03
2014-12-12,主动偏股,932055,五,912.29,912.29,912.29,912.29,9.19,1.02
2014-12-12,股票基金,H11021,五,5563.57,5563.57,5563.57,5563.57,42.22,0.76
2014-12-12,主动股基,930890,五,903.07,903.07,903.07,903.07,7.58,0.85
2014-12-12,偏股基金,930950,五,882.16,882.16,882.16,882.16,7.42,0.85
2014-12-15,偏股基金,930950,一,894.60,894.60,894.60,894.60,12.44,1.41
2014-12-15,主动股基,930890,一,914.08,914.08,914.08,914.08,11.01,1.22
2014-12-15,股票基金,H11021,一,5633.72,5633.72,5633.72,5633.72,70.15,1.26
2014-12-15,主动偏股,932055,一,927.02,927.02,927.02,927.02,14.73,1.62
2014-12-16,主动偏股,932055,二,934.15,934.15,934.15,934.15,7.13,0.77
2014-12-16,股票基金,H11021,二,5698.07,5698.07,5698.07,5698.07,64.35,1.14
2014-12-16,偏股基金,930950,二,903.95,903.95,903.95,903.95,9.35,1.05
2014-12-16,主动股基,930890,二,919.75,919.75,919.75,919.75,5.67,0.62
